created_at,text,sentiment_score
2022-11-28T20:16:53.000Z,"RT @comic_marina: Comic twitter: 
""Peggy Carter is a n*zi. Wanda enslaved a whole town, shes irredeemable. She-Hulk is a hypocritical narci…",1.546
2022-11-28T20:16:56.000Z,"@sexysportslover any Guardians of the Galaxy movie
Black Panther 
Sleepless in Seattle
The Day The Earth Stood Still (original movie)",6.591
2022-11-28T20:16:53.000Z,RT @mcucomfort: the cast of black panther &lt;3 https://t.co/drmVMoZSHK,5
2022-11-28T20:17:00.000Z,@InternetH0F Kids in the common bro😂,5
2022-11-28T20:16:56.000Z,"RT @DailyLoud: Actor Tenoch Huerta, who played “Namor” in Black Panther 2, goes off on racist Mexican Media outlets who said “Blacks &amp; Brow…",3.409
2022-11-28T20:16:53.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:17:01.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:15:14.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:14:30.000Z,me hearing white people say any criticism abt black panther https://t.co/zZaVwfLBYX,2.798
2022-11-28T20:15:03.000Z,@SucioSloan217 They wouldn't dare!!,5
2022-11-28T20:15:08.000Z,RT @4chanGreen: Anon watches Black Panther https://t.co/hu4dE8aMRX,5
2022-11-28T20:14:30.000Z,"@AdrieanKoleric MCU fatigue is real. Especially with how mid Phase 4 has been. Having said that, #WakandaForever is top fucking tier bud. Head and shoulders above the rest of the Phase 4 stuff. I'd even go so far as to say it's a top 5 MCU flick and better than Black Panther 1.",8.454
2022-11-28T20:15:19.000Z,"I’m watching Black Panther 2 in French bc I’m still in Morocco but I know I can’t be the only one thinking, can’t they just take off the Aqua people’s masks so they can’t breathe and eventually die???",1.3245
2022-11-28T20:15:14.000Z,@nxylas @BriggsNicholas @GerryAndersonTV The ONLY scene in that film that I found genuinely funny! 😄,7.202
2022-11-28T20:14:48.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:15:16.000Z,"RT @Xbox: Join the fight for Wakanda!

Follow &amp; RT with #XboxWakandaForeverSweepstakes for your chance to win a custom Black Panther: Wakan…",8.2985
2022-11-28T20:15:22.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:15:28.000Z,RT @Microsoft: Add coding to your list of superpowers with our Black Panther: #WakandaForever @MSMakeCode program: https://t.co/T5BOqQut9c,5
2022-11-28T20:15:27.000Z,"RT @Asianwildlife66: Black Panther 🐆

Have u watched this movie before? https://t.co/Lx2dA8mY3S",5
2022-11-28T20:15:37.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:15:50.000Z,RT @KingKyberrr: I hate how there are people who think Civil War was the only movie that did T’Challa any kind of justice. He was a man on…,1.6515
2022-11-28T20:15:40.000Z,"RT @Marvel: With the world's eyes on Wakanda, now's a great time to celebrate the legacy of one of Marvel's greatest heroes. Revisit our @S…",9.8005
2022-11-28T20:15:42.000Z,"“
No more locked cities
No more locked cities
No more locked cities
      Gracias “ https://t.co/ROkf9qifXF",3.52
2022-11-28T20:15:33.000Z,RT @bpanthernews: The Oscar’s Best Picture campaign for Black Panther: #WakandaForever has started! https://t.co/6vWOIHdDNt,8.1845
2022-11-28T20:15:52.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:15:39.000Z,"New Black Panther movie
Traaassshhhh https://t.co/U4GsxCfBdc",5
2022-11-28T20:15:35.000Z,"RT @DailyLoud: Actor Tenoch Huerta, who played “Namor” in Black Panther 2, goes off on racist Mexican Media outlets who said “Blacks &amp; Brow…",3.409
2022-11-28T20:17:02.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:16:00.000Z,Black Panther is a step in the right direction and a diverse audience is hungry for more inclusive roles and storylines https://t.co/8fe0DhKK2D,5
2022-11-28T20:17:06.000Z,RT @TheMarvelFocus: Marvel Studios has started the well deserved Best Picture campaign for Black Panther: #WakandaForever for the Oscars! h…,9.221
2022-11-28T20:16:26.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:16:11.000Z,"RT @Jenny30355206: Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOt…",9.2775
2022-11-28T20:15:54.000Z,@Briyashaa Elite rizz tho,5
2022-11-28T20:17:02.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:17:04.000Z,@mikejt1954 @Blog_Mickey You clearly haven’t paid much attention then 🤣🤷‍♂️,7.0095
2022-11-28T20:16:24.000Z,"RT @LastPodNetwork: New Wizard and the Bruiser! @BestJakeYoung and @holdenators are exploring the history of the Black Panther, from his sh…",5
2022-11-28T20:16:21.000Z,"RT @awkward_1110: Ross💙2y
#NYCACC #158950 
A handsome black boy...a coat like a panther...not as bold right now😨this young boy is TERRIFIED…",7.787
2022-11-28T20:17:09.000Z,"RT @Jenny30355206: Watch Black Panther Wakanda Forever FOR FREE. #BlackPanther #Marvel #movies #free #comic #Watching 
https://t.co/t9DTAOt…",9.2775
2022-11-28T20:17:28.000Z,"RT @MarvelStudios: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionally…",5.7655
2022-11-28T20:17:42.000Z,"RT @theblackpanther: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionall…",5.7655
2022-11-28T20:17:28.000Z,"RT @Asianwildlife66: Black Panther 🐆

Have u watched this movie before? https://t.co/Lx2dA8mY3S",5
2022-11-28T20:17:45.000Z,@RugbySkin @LayotaQueef He’s a Black Panther/Antifa Leftist,5
2022-11-28T20:17:25.000Z,"RT @theblackpanther: A profound take on life and legacy. Critics are hailing Marvel Studios’ BLACK PANTHER: WAKANDA FOREVER as, “emotionall…",5.7655
2022-11-28T20:17:49.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:17:45.000Z,I’m sorry @noemisreign but baby you know who’s queen🙅🏽‍♂️ https://t.co/ongmqITEMq,4.8065
2022-11-28T20:17:49.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:17:20.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
2022-11-28T20:17:51.000Z,@MarvelStudios @TheAcademy give her the oscar,5
2022-11-28T20:17:51.000Z,RT @OptimusGrind__: “Aye that Black Panther chick coming foo” https://t.co/uIEwIY0DEX,5
