created_at,text,sentiment_score
2022-11-28T20:34:22.000Z,"@wrybombeck I'm not even sure it will be in a theater here 🫤

Knives Out in cinema was like the last fun normal thing I did before Covid.",7.9555
2022-11-28T20:17:19.000Z,"Glass Onion is an absolute blast of a movie and the entire cast is giving it their all- none more than Janelle Monae, who is a captivating and dynamic actor in ways I wasn’t prepared for. Go see it in a theatre if you can.",7.581
2022-11-28T20:34:55.000Z,"#NW Looper (2012)

a little Rian Johnson blind spot. might finish his filmography before I catch Glass Onion! https://t.co/Imaq3xmIv5",3.2615
2022-11-28T20:35:21.000Z,Very much enjoyed Glass Onion so much that I had to watch Knives Out right after cause I wanted more. Rian Johnson sure knows how to make these movies - probably gonna start making these a holiday tradition.,9.1675
2022-11-28T20:35:56.000Z,@annehelen Our full theater all busted out laughing and applauded at the reveal. What a treat!,9.063
2022-11-28T20:34:52.000Z,"They are also all wonderfully crafted (Triangle is a leeeeetle too long - satire is a sharp surgical instrument, so you need to get in and out ASAP, but overall it works).",6.753
2022-11-28T20:34:52.000Z,"Mobile, NOLA, Gulfport, and Pensacola all not getting Glass Onion?!? I’m a little annoyed (a lot)",3.4015
2022-11-28T20:36:26.000Z,@jesawyer Needs an “I haven’t seen it yet” option… so compelled to click,5.7855
2022-11-28T20:36:19.000Z,@zdch Yeah I liked it better than the first too,8.9225
2022-11-28T20:36:58.000Z,"@DiscussingFilm ""KILLERS OUT : A Knives Out mystery"" where Benoit Blanc investigate a crime scene but all suspects are cosplayers in a horror movies convention",0.403
2022-11-28T20:37:17.000Z,@bigtotoro Not surprised at all.,4.1525
2022-11-28T20:37:19.000Z,"That Glass Onion was tasty as fuck. Rian, you beautiful man, you’ve done it again.",5.5135
2022-11-28T20:38:06.000Z,GLASS ONION WAS SO FUCKING GOOOOOOOOOOOOOD HOW DID RIAN OUTDO HIMSELF HOLY SHIT,2.213
2022-11-28T20:40:15.000Z,@HazelQuimpo That's so pretty!,7.7065
2022-11-28T20:40:08.000Z,"For me, I would like increased protection from gun violence. Having to figure out the escape route each time dampens the experience. Cost is also an issue, but I’ll still splurge. Spent over 100 to see Glass Onion with a sampler, snacks and drinks. https://t.co/zwnPt0QyZw",2.0365
2022-11-28T20:40:14.000Z,Just saw Glass Onion and the only thing I can say without spoiling anything is HOLY FUCKING SHIT!!! The entire film was amazing and was a perfect sequel. I may have to see it again in theaters before Wednesday. @rianjohnson is an absolute genius!!! https://t.co/MwI7CMUbhZ,7.792
2022-11-28T20:40:35.000Z,@BillBrasky2620 Don't kink shame the official Glass Onion twitter account.,6.862
2022-11-28T20:40:20.000Z,Glass Onion was way too fire,3.3
2022-11-28T20:42:56.000Z,@CEOAdam RETIRE asap. From a very loyal ape for quiete sometime now. Pls step down,7.8545
2022-11-28T20:43:01.000Z,looking at my knives out blu ray desperately hoping glass onion gets a blu ray release,5.258
2022-11-28T20:44:37.000Z,@DiscussingFilm Winter setting please ❄️❄️,6.591
2022-11-28T20:44:32.000Z,RT @JacobSHall: One thing that I find utterly fascinating about KNIVES OUT and GLASS ONION is that they’re movies so deeply entrenched in m…,7.9245
2022-11-28T20:45:46.000Z,I'm fucking frothing at the mouth holy shit that was so good God that was SO SATISFYING holy shit,7.0935
2022-11-28T20:45:37.000Z,"@gemko @vjmfilms But also, we know movie execs guess wrong about when to open stuff or how many theaters or whether it goes straight to streaming etc. all the time. It looks like they missed the demand for GLASS ONION and could have had a bona fide holiday theatrical hit if they'd let it.",5.577
2022-11-28T20:46:04.000Z,"@JacobSHall yes! this is what frustrated me about 'knives out', but i admire that it commits to the bit",8.0295
2022-11-28T20:45:50.000Z,@scottEmovienerd I believe this is because theaters requested a 3 week window between its release and when it streams.  Only seems silly now since studios are putting movies on streaming at a whim if they don’t do well in theaters.  🤷‍♂️,4.4685
2022-11-28T20:55:26.000Z,"Just seen Glass Onion: A knives out mystery, very good great fun very clever. I didn’t work it out",9.687
2022-11-28T20:50:35.000Z,RT @diannaeanderson: I also want to make it clear that you do NOT need to have seen Knives Out in order to go see Glass Onion. They are fun…,8.6755
2022-11-28T20:55:48.000Z,Glass Onion was extremely on the nose but E**n tweeting the photo with the gun on the nightstand is just hilarious lol,8.155
2022-11-28T20:56:01.000Z,"@CreedsDelight Not only is it in limited release for only a week (despite numerous reports of sold-out screenings), but it's out JUST long enough for the mystery to get spoiled long before it actually shows up on Netflix. They should have given it a Real Movie release.",4.423
2022-11-28T20:47:12.000Z,I truly cannot believe Stephen Sondheim and Angela Lansbury's last on-screen appearances were THAT scene lmfao,8.753
2022-11-28T20:48:37.000Z,@naomicalhoun Is that the murder mystery one?,1.546
2022-11-28T20:48:33.000Z,RT @GreatCheshire: I’m so glad Glass Onion got a theater release because it’s the sort of movie theaters are made for. Just an absolutely e…,7.9745
2022-11-28T20:48:10.000Z,@RunquistKarsten It didn’t even play near me. Like what the hell. My theater chose Bones &amp; All and She Said over The Fabelmans and Glass Onion…,1.8535
2022-11-28T20:48:47.000Z,@gemko @vjmfilms I'm not a streaming service movie exec but it seems to me there's not much to lose and a lot to gain by putting actually rewatchable movies like GLASS ONION in theaters first for a legitimate run.,9.471
2022-11-28T20:47:50.000Z,@karenallen Lol. I'm not spoiling anything to say Wakanda Forever and Glass Onion - the jokes were throw aways but effective.,8.8075
2022-11-28T20:49:58.000Z,‘Strange World’ To Lose $147M: Why Theatrical Best Decision For Doomed Toon – Deadline https://t.co/VrCE0kPpHw,2.2885
2022-11-28T20:49:34.000Z,"@ZaidJilani So far, Glass Onion. Unbearable Weight of Massive Talent, Everything Everywhere All At Once, Elvis, Marcel the Shell with Shoes On, Bullet Train all excellent. Haven't seen Till, The Whale, other unreleased stuff.",8.7895
2022-11-28T20:51:24.000Z,"Early prediction, but if I find Glass Onion is as good (or possibly even better) than Knives Out 2019, it is easily going to be my Favourite Movie of the year. No competition. We shall see 😁 #GlassOnion #KnivesOut",9.2865
2022-11-28T20:51:02.000Z,"@netflix @rianjohnson OMG! Please I need to this!! Glass Onion was so good, I need every behind the scenes tidbit possible! https://t.co/5SmJXXWrFt",8.61
2022-11-28T20:51:42.000Z,The joy of a cinema audience roaring with so much enjoyment that covers all other noises. I regret missing RRR on the big screen and hope eventually The Lighthouse will show it again.,8.8175
2022-11-28T20:51:41.000Z,@rgodfrey @gemko @vjmfilms Every hour spent in a movie theater is one less hour spent on a streaming service (plus there's no splits then with not only theaters but various talent as well as unions).,8.478
2022-11-28T20:52:02.000Z,@dannybouuyy Thank your for the spoiler free review imma go watch it rn,8.5015
2022-11-28T20:52:40.000Z,"@prateeek5harma @DiscussingFilm Wanna clarify the fuck you wasn’t serious, but Glass Onion as a title is amazing",8.1005
2022-11-28T20:56:11.000Z,"shoulda been wide release, crazy. this was so fun to watch with other people in reacting w u https://t.co/kvVaZz8mJq",7.147
2022-11-28T20:58:08.000Z,"I know you’re all seeing glass onion but I’m gonna watch it with my family over Christmas on streaming so could you all please be quiet about it until then? 

Thenks",7.2485
2022-11-28T20:58:24.000Z,"@scottEmovienerd Or, ya know, do a wide release of 3 weeks at the same time as Netflix, but give Netflix some bonus content like a DVD box set. Deleted/alternate scenes, bloopers, commentary. That’s where your Netflix membership benefits.",9.5545
2022-11-28T20:58:34.000Z,"Goddamn it, I’m supposed to see Glass Onion tomorrow night. https://t.co/hIp4QAYaZK",2.6165
2022-11-28T20:58:55.000Z,"GLASS ONION is extremely good,  and it's an absolute crime that it's only had one week in cinemas.",4.605
2022-11-28T21:00:28.000Z,"@toonhound @AKlay19 @davidlsims I know people who are skipping Glass Onion in theaters because they know when it’s going to  Netflix. 

Top Gun released its VOD date months into its run and it’s going to Paramount+ on December 22nd.

Long theatrical windows with uncertain at home dates are good business.",5.129
2022-11-28T21:00:51.000Z,RT @ntagonistic: glass onion is a great movie but for me its greatest joy was simply getting to see my close personal friend benoit blanc o…,9.8155
2022-11-28T20:02:12.000Z,i need to go see glass onion fuck my life. if no one comes with me im going next sunday alone,1.1415
